Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Матяш,Соломія,Філаретівна,Жінка,1994.10.21,Клавішник,місто Залізне,"сквер Водопровідний 1-й, буд. 6 кв. 399, Шаргород, 69843",061 413 47 28,saienkomykhailo@example.com
Мазепа,Златослава,Марківна,Жінка,2003.07.22,Машиніст,селище Камінь-Каширський,"парк Композитора Глинки, буд. 948 кв. 6, Вуглегірськ, 55113",878-56-35,rudykokseniia@example.com
Демʼянюк,Василь,Симонівна,Чоловік,1966.03.23,Письменник,село Жашків,"шосе Катерининська, буд. 7, Ізяслав, 97699",+380 76 742-14-68,shevchenkoanzhela@example.net
Атаманюк,Сергій,Єфремівна,Чоловік,1983.06.08,Мовознавець,село Васильків,"шосе Асєєва Юрія, буд. 80 кв. 125, Рівне, 21630",074 682-97-78,imykytiuk@example.net
Дробаха,Франц,Андриянівна,Чоловік,1963.05.06,Мінералог,місто Ізяслав,"провулок Пироговська, буд. 3 кв. 7, Збараж, 53429",012 304 92 63,andriichukboleslav@example.com
Ґжицький,Лукʼян,Федорович,Чоловік,1984.02.01,Географ,хутір Вилкове,"вулиця Карантинна, буд. 30, Заліщики, 74558",+380 (84) 089-97-36,chaikasviatoslava@example.org
Дубина,Максим,Назаріївна,Чоловік,1974.02.08,Гірник,селище Новгород-Сіверський,"шосе Юрія Олеші, буд. 1 кв. 633, Вилкове, 81028",+380 69 734-45-77,romanetsheorhii@example.com
Бандера,Аврелій,Анісіївна,Чоловік,1990.09.27,Географ,місто Роздільна,"площа Сурикова 1-й, буд. 96 кв. 289, Красноград, 18225",+380 67 989 31 46,kshchors@example.com
Алексеєнко,Світлана,Афанасіївна,Жінка,2001.05.09,Соціолог,хутір Андрушівка,"сквер Вапняне селище, буд. 3, Новий Калинів, 97306",426 27 11,yhaivoronskyi@example.net
Редько,Ольга,Назаріївна,Жінка,1993.04.15,Євнух,село Шаргород,"провулок Аеропортівський 6-й, буд. 709 кв. 262, Попасна, 25506",+380 75 306 75 69,iarynateslenko@example.com
Гайдай,Світлана,Вадимівна,Жінка,1972.08.19,Хореограф,село Корсунь-Шевченківський,"сквер Задніпровського, буд. 176, Вовчанськ, 26424",+380 (03) 895-64-48,qshutko@example.org
Пʼятаченко,Олена,Іракліївна,Жінка,1995.04.06,Гінеколог,село Яготин,"набережна Сумський, буд. 768 кв. 1, Монастирище, 93624",+380 69 546-54-80,valerii87@example.net
Сиротенко,Йосип,Гаврилівна,Чоловік,1962.01.22,Ріелтор,селище Ладижин,"площа Велика Садова, буд. 235 кв. 654, Брянка, 33186",+380 55 404 70 60,klymentcharnysh@example.org
Василенко,Павло,Никифорівна,Чоловік,1982.09.03,Ґрунтознавець,хутір Кропивницький,"шосе Обривиста, буд. 440 кв. 4, Молочанськ, 44753",+380 34 424 13 54,khomykvira@example.net
Скиба,Веніямин,Давидович,Чоловік,1980.04.19,Нотаріус,місто Сулимівка (Слов'янськ),"набережна 13-та ст. Великого Фонтану пляж, буд. 082, Лебедин, 47860",073 480-63-44,tereza65@example.com
Гайдай,Валерій,Андронікович,Чоловік,1971.02.01,Намотувальник,селище Ямпіль,"сквер Стєклова, буд. 7, Святогірськ, 43206",019 685 92 01,romanzasiadko@example.org
Притула,Петро,Ярославівна,Чоловік,1983.12.05,Головний меркшейдер,хутір Балаклія,"набережна Артилерійський 2-й, буд. 4, Мерефа, 07665",726-79-47,ivanandriienko@example.org
Гоголь-Яновський,Панас,Мар’янівна,Чоловік,1981.10.25,Бібліограф,селище Ромни,"площа Ракетна, буд. 88 кв. 8, Городище , 22119",091 150-46-87,haidaburaliubov@example.net
Червоненко,Алла,Симонівна,Жінка,1972.07.02,Юрист,хутір Міусинськ,"проспект Косий, буд. 16 кв. 534, Оріхів, 35813",093 507 72 18,marynavovk@example.org
Карпенко,Наталія,Костянтинівна,Жінка,1953.12.15,Складальник,хутір Городище ,"площа Петрашевського, буд. 9 кв. 6, Комарно, 06774",542 42 91,larysahrechanyk@example.net
Артюшенко,Анжела,Макарович,Жінка,2001.05.23,Маркетолог,хутір Новогродівка,"проспект Новікова 2-га, буд. 911, Звенигородка, 19475",+380 90 825 97 96,dkabaliuk@example.org
Єрьоменко,Альбіна,Афанасіївна,Жінка,1980.03.15,Соціолог,село Родинське,"проспект Західний 3-й, буд. 11, Дружківка, 80833",+380 88 939-73-88,leopoldvatamaniuk@example.com
Удовенко,Прохір,Макарович,Чоловік,2006.01.05,Режисер,селище Вилкове,"шосе Східчастий, буд. 15, Київ, 48413",484-80-49,valerii12@example.com
Філіпенко,Аврелій,Валентинівна,Чоловік,2004.10.19,Ріелтор,селище Українка ,"проспект Нерубайська, буд. 752 кв. 615, Бобринець, 01687",714 66 48,holoborodkozlatoslava@example.com
Носенко,Ілля,Силуанівна,Чоловік,2003.10.03,Модельєр,місто Білгород-Дністровський,"узвіз Мічманський 1-й, буд. 069 кв. 6, Українськ, 79941",093 854-12-75,idubenko@example.net
Журба,Ростислав,Філімонівна,Чоловік,1970.09.21,Програміст,село Мала Виска,"проспект Селекційний, буд. 6 кв. 771, Черкаси, 28326",096 282 48 67,maksym97@example.com
Гречаник,Богдан,Антігонівна,Чоловік,1992.04.13,Програміст,хутір Глиняни,"набережна Восьмого Березня Лінія 5-та, буд. 614 кв. 4, Ланівці, 66714",756 99 84,panteleimonneporozhnii@example.com
Єрошенко,Демид,Климентівна,Чоловік,1963.04.10,Електротехнік,місто Жмеринка,"шосе Лінія 39-та, буд. 3 кв. 26, Бурштин , 41548",+380 09 478 99 32,shvedchenkovenedykt@example.org
Ніколюк,Марʼяна,Юхимович,Жінка,2003.09.05,Астрофізик,село Фастів,"площа 6-та Суворовська, буд. 756 кв. 41, Чуднів, 99541",+380 88 593-83-37,dannaturkalo@example.com
Скоробогатько,Оксенія,Юстиніанівна,Жінка,1973.08.31,Льотчик,село Берестечко,"шосе Жоліо-Кюрі, буд. 153 кв. 8, Світлодарськ, 91141",+380 84 603 74 48,rvasylenko@example.net
Барабаш,Одарка,Амвросіївна,Жінка,1954.08.10,Акушер,село Коростишів,"провулок Топольського, буд. 297 кв. 1, Чуднів, 71754",+380 16 089-39-08,khoma19@example.net
Конопля,Одарка,Лаврінівна,Жінка,1951.06.04,Візажист,село Олешки,"сквер Костанді 3-й, буд. 56 кв. 630, Чорноморськ, 48351",+380 42 648-72-56,kamilla01@example.net
Власенко,Святослав,Феофанівна,Чоловік,1957.01.04,Електрослюсар,селище Пустомити,"набережна Новосельского, буд. 98, Коломия, 79545",704-94-98,hordiishvedchenko@example.org
Іщенко,Богдан,Всеславівна,Чоловік,1977.04.15,Євнух,село Саки ,"сквер Академіка Вільямса, буд. 28 кв. 5, Сімферополь, 90137",+380 (88) 353-70-69,bohodar41@example.com
Макаренко,Сергій,Никифорівна,Чоловік,2002.05.22,Режисер,хутір Чистякове,"площа Ключовий 2-й, буд. 470, Волноваха, 07379",+380 (40) 340-66-61,ozaiets@example.com
Худобʼяк,Ярослав,Болеславівна,Чоловік,1999.08.25,Золотар,село Судова Вишня,"набережна Академіка Заболотного, буд. 322, Дубляни, 94431",+380 68 114 95 54,nbazylevych@example.net
Данилюк,Борис,Варфоломійович,Чоловік,1981.04.10,Піаніст,місто Бобровиця,"парк Трудових резервів, буд. 5, Гадяч, 76704",005 743 68 66,shchyrytsiadavyd@example.org
Макогон,Спас,Мелентіївна,Чоловік,1999.04.17,Прокурор,селище Ровеньки,"площа М’ясоєдовська, буд. 121, Сніжне, 59366",025 914-79-67,shvachkadanna@example.net
Щербань,Варвара,Леонідович,Жінка,1993.09.07,Хореограф,село Щолкіне,"узвіз Красна, буд. 54 кв. 8, Горлівка, 91323",+380 52 802-43-68,heorhiilavrenko@example.com
Сич,Михайлина,Варфоломійович,Жінка,1982.10.17,Маркетолог,село Коростишів,"парк Шкіперська, буд. 13 кв. 630, Очаків, 17889",+380 57 623 14 61,nazar62@example.org
